12345JOHN DOE            31121990
67890JANE SMITH          04052000
24680ROBERT JOHNSON      23061985
13579LISA ANDERSON       15032001
98765MICHAEL WILLIAMS    07101995
54321SARAH MARTINEZ      28121989
11223DAVID MILLER        09071980
12354EMMA WILSON         18061992
99999OLIVIA BROWN        25081998
77777JAMES GARCIA        11111975
11111MIA DAVIS           02091988
22222ETHAN JONES         14041993
33333AVA MARTIN          10122005
44444NOAH RODRIGUEZ      19071997
55555CHLOE HERNANDEZ     27032003
66666SAMUEL LOPEZ        08011982
77778EMILY GONZALEZ      20051996
88888WILLIAM PEREZ       03031979
99990SOFIA RAMIREZ       12112009
10101AIDEN TORRES        16082010
