12345LUCAS GABRIEL JAIME 077508250100
67890ANA MARIA SILVA     095007750800
24680PEDRO OLIVEIRA      062506507750
13579MARIA SOUZA         070077750925
98765JOAO PEREIRA        089008509750
54321CARLOS SANTOS       062506008500
11223FERNANDA LIMA       078007250675
88888GABRIELA COSTA      094008750700
99999ANTONIO RODRIGUES   080007500825
77777MARCOS FERREIRA     072507750900
11111RAFAELA SANTOS      052507000675
22222CAROLINA OLIVEIRA   087509250850
33333MATEUS ALVES        065005750700
44444GUSTAVO MARTINS     072506750825
55555LUCIA PEREIRA       090008500975
66666FELIPE RODRIGUES    077506250750
77778MARCELA SILVA       082508750800
88889BRUNO COSTA         067505500725
99990SOFIA FERREIRA      097509250950
10101FELIPE MARTINS      070007500725
