12345Joao da Silva       1000097520
54321Maria Oliveira      0550060019
98765Pedro Santos        0800075017
24680Ana Rodrigues       0425050022
13579Lucas Alves         0675072523
86420Luiza Pereira       0925085005
77777Gabriel Costa       0275040021
55555Carolina Fernandes  0700065010
22222Mateus Gomes        0850072508
66666Sofia Martins       0500047519
44444Rafael Lima         0900087502
88888Beatriz Souza       0450037524
99999Guilherme Castro    0625070012
77788Vitoria Santos      0875090007
11111Gustavo Mendes      0575060016
33333Laura Ribeiro       0900092504
44411Daniel Carvalho     0600057518
55511Isabela Vieira      0700070018
77711Bruno Pereira       0600070018
99911Julia Fernandes     0800060018
